Setor,Etapa,Concluído (0/1),% Setor
CAEX,Ativação das tomadas elétricas,0,0
CAEX,Teste dos equipamentos,0,0
GRAVAMES,Lançamento dos cabos lógicos,0,0
GRAVAMES,Lançamento do circuito elétrico,0,0
GRAVAMES,Instalação das descidas,0,0
GRAVAMES,Instalação das tomadas elétricas,0,0
GRAVAMES,Instalação das tomadas lógicas,0,0
GRAVAMES,Conectorização das tomadas lógicas,0,0
GRAVAMES,Ativação dos pontos lógicos,0,0
GRAVAMES,Ativação das tomadas elétricas,0,0
GRAVAMES,Teste dos equipamentos,0,0
NUAVE,Lançamento dos cabos lógicos,0,0
NUAVE,Lançamento do circuito elétrico,0,0
NUAVE,Instalação das descidas,0,0
NUAVE,Instalação das tomadas elétricas,0,0
NUAVE,Instalação das tomadas lógicas,0,0
NUAVE,Conectorização das tomadas lógicas,0,0
NUAVE,Ativação dos pontos lógicos,0,0
NUAVE,Ativação das tomadas elétricas,0,0
NUAVE,Teste dos equipamentos,0,0
GERCONV,Lançamento dos cabos lógicos,0,0
GERCONV,Lançamento do circuito elétrico,0,0
GERCONV,Instalação das descidas,0,0
GERCONV,Instalação das tomadas elétricas,0,0
GERCONV,Instalação das tomadas lógicas,0,0
GERCONV,Conectorização das tomadas lógicas,0,0
GERCONV,Ativação dos pontos lógicos,0,0
GERCONV,Ativação das tomadas elétricas,0,0
GERCONV,Teste dos equipamentos,0,0
COREV,Lançamento dos cabos lógicos,0,0
COREV,Lançamento do circuito elétrico,0,0
COREV,Instalação das descidas,0,0
COREV,Instalação das tomadas elétricas,0,0
COREV,Instalação das tomadas lógicas,0,0
COREV,Conectorização das tomadas lógicas,0,0
COREV,Ativação dos pontos lógicos,0,0
COREV,Ativação das tomadas elétricas,0,0
COREV,Teste dos equipamentos,0,0
AGIN,Lançamento dos cabos lógicos,0,0
AGIN,Lançamento do circuito elétrico,0,0
AGIN,Instalação das descidas,0,0
AGIN,Instalação das tomadas elétricas,0,0
AGIN,Instalação das tomadas lógicas,0,0
AGIN,Conectorização das tomadas lógicas,0,0
AGIN,Ativação dos pontos lógicos,0,0
AGIN,Ativação das tomadas elétricas,0,0
AGIN,Teste dos equipamentos,0,0
OUVIDORIA,Conectorização dos cabos lógicos no patch painel,0,64
AGEPLANDI,Conectorização dos cabos lógicos no patch painel,0,0
GERSAT,Conectorização dos cabos lógicos no patch painel,0,0
SETAI,Conectorização dos cabos lógicos no patch painel,0,0
RENAVAM,Conectorização dos cabos lógicos no patch painel,0,0
DIROP,Conectorização dos cabos lógicos no patch painel,0,0
COPROC,Conectorização dos cabos lógicos no patch painel,0,0
CAEX,Conectorização dos cabos lógicos no patch painel,0,0
GRAVAMES,Conectorização dos cabos lógicos no patch painel,0,0
NUAVE,Conectorização dos cabos lógicos no patch painel,0,0
GERCONV,Conectorização dos cabos lógicos no patch painel,0,0
COREV,Conectorização dos cabos lógicos no patch painel,0,0
AGIN,Conectorização dos cabos lógicos no patch painel,0,0
OUVIDORIA,Ativação dos circuitos elétricos no quadro,0,64
AGEPLANDI,Ativação dos circuitos elétricos no quadro,0,0
GERSAT,Ativação dos circuitos elétricos no quadro,0,0
SETAI,Ativação dos circuitos elétricos no quadro,0,0
RENAVAM,Ativação dos circuitos elétricos no quadro,0,0
DIROP,Ativação dos circuitos elétricos no quadro,0,0
COPROC,Ativação dos circuitos elétricos no quadro,0,0
CAEX,Ativação dos circuitos elétricos no quadro,0,0
GRAVAMES,Ativação dos circuitos elétricos no quadro,0,0
NUAVE,Ativação dos circuitos elétricos no quadro,0,0
GERCONV,Ativação dos circuitos elétricos no quadro,0,0
COREV,Ativação dos circuitos elétricos no quadro,0,0
AGIN,Ativação dos circuitos elétricos no quadro,0,0
